name	description	image	price	domain	link
Scout Jacket - Chilled Black Destruction		https://www.paige.com/binaries/content/gallery/products/m/m772873-7134/m772873-7134_01.jpg/m772873-7134_01.jpg/brxp:xlProduct	$249.00	paige	https://www.paige.com/p/scout-jacket-w-destruction--m772873-7134
Federal - Hawke		https://www.paige.com/binaries/content/gallery/products/m/m655734-7241/m655734-7241_01.jpg/m655734-7241_01.jpg/brxp:xlProduct	$199.00	paige	https://www.paige.com/p/federal--m655734-7241
Burke Polo Shirt - Wild Grey		https://www.paige.com/binaries/content/gallery/products/m/m833e12-7091/m833e12-7091_01.jpg/m833e12-7091_01.jpg/brxp:xlProduct	$99.00	paige	https://www.paige.com/p/burke-polo-shirt--m833e12-7091
Lennox - Rudd		https://www.paige.com/binaries/content/gallery/products/m/m653743-7234/m653743-7234_01.jpg/m653743-7234_01.jpg/brxp:xlProduct	$199.00	paige	https://www.paige.com/p/lennox--m653743-7234
Hayward Bomber - Olive Night		https://www.paige.com/binaries/content/gallery/products/m/m741f15-7087/m741f15-7087_01.jpg/m741f15-7087_01.jpg/brxp:xlProduct	$269.00	paige	https://www.paige.com/p/hayward-bomber--m741f15-7087
Scout Jacket - Aged Wild Grey		https://www.paige.com/binaries/content/gallery/products/m/m772b32-7133/m772b32-7133_01.jpg/m772b32-7133_01.jpg/brxp:xlProduct	$239.00	paige	https://www.paige.com/p/scout-jacket--m772b32-7133
Landon Shirt - Arid Black		https://www.paige.com/binaries/content/gallery/products/m/m824f29-7120/m824f29-7120_01.jpg/m824f29-7120_01.jpg/brxp:xlProduct	$149.00	paige	https://www.paige.com/p/landon-shirt--m824f29-7120
Elmwood Jogger - Deep Anchor		https://www.paige.com/binaries/content/gallery/products/m/m834374-6781/m834374-6781_01.jpg/m834374-6781_01.jpg/brxp:xlProduct	$199.00	paige	https://www.paige.com/p/elmwood-jogger--m834374-6781
Luca Shirt Jacket - Black		https://www.paige.com/binaries/content/gallery/products/m/m837374-1086/m837374-1086_01.jpg/m837374-1086_01.jpg/brxp:xlProduct	$249.00	paige	https://www.paige.com/p/luca-shirt-jacket--m837374-1086
Bedford Denim Shirt - Willow Blue		https://www.paige.com/binaries/content/gallery/products/m/m839f52-7493/m839f52-7493_01.jpg/m839f52-7493_01.jpg/brxp:xlProduct	$179.00	paige	https://www.paige.com/p/bedford-denim-shirt--m839f52-7493
Brysen Crew Neck - Heather Overcast		https://www.paige.com/binaries/content/gallery/products/m/m846e62-7511/m846e62-7511_01.jpg/m846e62-7511_01.jpg/brxp:xlProduct	$139.00	paige	https://www.paige.com/p/brysen-crew-neck--m846e62-7511
Lennox - Hayworth		https://www.paige.com/binaries/content/gallery/products/m/m653697-7145/m653697-7145_01.jpg/m653697-7145_01.jpg/brxp:xlProduct	$199.00	paige	https://www.paige.com/p/lennox--m653697-7145
Scout Jacket - Vintage Raven		https://www.paige.com/binaries/content/gallery/products/m/m772b32-5769/m772b32-5769_01.jpg/m772b32-5769_01.jpg/brxp:xlProduct	$239.00	paige	https://www.paige.com/p/scout-jacket--m772b32-5769
Scout Jacket - Rich Olive		https://www.paige.com/binaries/content/gallery/products/m/m772b32-6992/m772b32-6992_01.jpg/m772b32-6992_01.jpg/brxp:xlProduct	$239.00	paige	https://www.paige.com/p/scout-jacket--m772b32-6992
Elmwood Jogger - Black		https://www.paige.com/binaries/content/gallery/products/m/m834374-1086/m834374-1086_01.jpg/m834374-1086_01.jpg/brxp:xlProduct	$199.00	paige	https://www.paige.com/p/elmwood-jogger--m834374-1086
Lennox - Carraway		https://www.paige.com/binaries/content/gallery/products/m/m653734-7149/m653734-7149_01.jpg/m653734-7149_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/lennox--m653734-7149
Garrett Henley Tee - Black		https://www.paige.com/binaries/content/gallery/products/m/m762e12-1086/m762e12-1086_01.jpg/m762e12-1086_01.jpg/brxp:xlProduct	$109.00	paige	https://www.paige.com/p/garrett-henley-tee--m762e12-1086
Everett Shirt - Smoked Olive		https://www.paige.com/binaries/content/gallery/products/m/m770f11-7061/m770f11-7061_01.jpg/m770f11-7061_01.jpg/brxp:xlProduct	$159.00	paige	https://www.paige.com/p/everett-shirt--m770f11-7061
Aja Dress - Black/orchid - Toss Hydrangea		https://www.paige.com/binaries/content/gallery/products/5/5373d75-7337/5373d75-7337_01.jpg/5373d75-7337_01.jpg/brxp:xlProduct	$209.00	paige	https://www.paige.com/p/aja-dress--5373d75-7337
Aja Cami - Burgundy/tulip - Toss Hydrangea		https://www.paige.com/binaries/content/gallery/products/5/5332d75-7330/5332d75-7330_01.jpg/5332d75-7330_01.jpg/brxp:xlProduct	$159.00	paige	https://www.paige.com/p/aja-cami--5332d75-7330
